place_id,term,rank,mention_count,avg_context_sentiment,positive_context_count,negative_context_count,positive_ratio,negative_ratio,top_positive_review_text,top_positive_review_likes,top_negative_review_text,top_negative_review_likes
bailemen_jiuguan,氣氛,1,46,0.20652173913043478,9,0,0.1956521739130435,0.0,"氣氛佳,價格實惠,炸物好吃,洗手間很乾淨值得讚許",2.0,,
bailemen_jiuguan,服務,2,35,0.15714285714285714,5,0,0.14285714285714285,0.0,最棒的阿昌老闆餐點:5服務:5氣氛:5,0.0,,
bailemen_jiuguan,餐點,3,32,0.15625,4,0,0.125,0.0,"氣氛沒話說,要是有qr code菜單就更好了,調酒也好喝。餐點:5服務:5氣氛:5",0.0,,
bailemen_jiuguan,酒吧,4,23,0.1956521739130435,4,0,0.17391304347826086,0.0,二樓有結合地下偶像的活動 非常舒適 晚上還有酒吧的營業 很棒的模式平均每人消費金額$200-400餐點:5服務:5氣氛:5預訂網址需訂位用餐人數多人聚餐/單人用餐皆宜等待時間不需等候,1.0,,
bailemen_jiuguan,表演,5,21,0.6428571428571429,10,1,0.47619047619047616,0.047619047619047616,"高雄最讚的Live House,老板人讚又Nice。沒表演也這裡喝酒聊天也讚!!",3.0,"111.5.1 酒類選項眾多👍 調酒跟shot整體表現不錯 爆米花&起司條好吃 店裡每個月都會安排幾場現場演出,但這天剛好沒有表演,可惜沒有看到。 下次續攤再來喝爆ჱ̒⸝⸝•̀֊•́⸝⸝)",3.0
bailemen_jiuguan,高雄,6,23,0.30434782608695654,6,0,0.2608695652173913,0.0,"高雄最讚的Live House,老板人讚又Nice。沒表演也這裡喝酒聊天也讚!!",3.0,,
bailemen_jiuguan,音樂,7,18,0.3888888888888889,5,0,0.2777777777777778,0.0,"""高雄的孩子,愛你的厝、愛你的家, 要明白最美的土地才會成就每朵最美的花。"" K represent 第二季:百家爭鳴 全高雄嘻哈社團聯合演出 就在明天 K represent 第二季也要在這畫上句點 多虧大家的支持和相挺 我能夠將活動辦到第二屆 離一開始的目標,建立高雄在地的嘻哈又更進一步 我心目中的嘻哈,絕對是要和你來自哪裡畫上等號的 猶如底特律之於阿姆、多倫多之於Drake一般 嘻哈從發源地到達各個不同的城市 經過當地的文化孕育出每個不盡相同的面貌 而這一切不會憑空而生, 絕對是透過每個熱愛者的努力和傳遞 一切都還沒有結束, 能夠走的多遠取決於所有熱愛嘻哈、地下音樂的朋友 如果你也喜歡K represent的活動氛圍 如果你也支持將一切回歸嘻哈音樂本質的理念 如果你也認同我邀請更多在地的心血展現創作 邀請大家明晚七點半,一同到百樂門 欣賞由全高雄大學嘻哈社團聯合的演出 也一起見證2019的K represent最終場 我們一直為了理念在努力、在付出、在戰鬥 真心邀請你 投我一票 - 阿不是,是一起來玩🔥🔥",3.0,,
bailemen_jiuguan,用餐,8,12,0.08333333333333333,1,0,0.08333333333333333,0.0,"奶酒口感豐富(*☻-☻*)平均每人消費金額$200-400餐點:5服務:5氣氛:5吵雜程度安靜,適合交談用餐人數多人聚餐/單人用餐皆宜座位類型室內用餐區, 酒吧區, 戶外庭園/露台",0.0,,
bailemen_jiuguan,吵雜,9,12,0.125,2,1,0.16666666666666666,0.08333333333333333,"奶酒口感豐富(*☻-☻*)平均每人消費金額$200-400餐點:5服務:5氣氛:5吵雜程度安靜,適合交談用餐人數多人聚餐/單人用餐皆宜座位類型室內用餐區, 酒吧區, 戶外庭園/露台",0.0,亂停車 吵雜 不推薦,0.0
bailemen_jiuguan,地方,10,11,0.18181818181818182,1,0,0.09090909090909091,0.0,"好地方,酒好喝人親切。",0.0,,
bailemen_jiuguan,座位,11,11,0.0,0,0,0.0,0.0,,,,
bailemen_jiuguan,很棒,12,11,0.13636363636363635,1,0,0.09090909090909091,0.0,"太棒的地方!喝酒空間很棒,食物也超讚,看表演品質很好,樓上看表演音場很爽!",1.0,,
bailemen_jiuguan,不錯,13,12,0.9166666666666666,9,0,0.75,0.0,"111.5.1 酒類選項眾多👍 調酒跟shot整體表現不錯 爆米花&起司條好吃 店裡每個月都會安排幾場現場演出,但這天剛好沒有表演,可惜沒有看到。 下次續攤再來喝爆ჱ̒⸝⸝•̀֊•́⸝⸝)",3.0,,
bailemen_jiuguan,吧台,14,10,0.0,0,0,0.0,0.0,,,,
bailemen_jiuguan,演出,15,12,0.08333333333333333,1,0,0.08333333333333333,0.0,很棒的酒吧 還有樂團的搖滾區演出 整個就是讚啦,0.0,,
bailemen_jiuguan,百樂門,16,11,0.22727272727272727,2,0,0.18181818181818182,0.0,第一次在酒吧跨年就獻給百樂門了! 氣氛非常棒 推推~,1.0,,
bailemen_jiuguan,空間,17,8,0.5,3,0,0.375,0.0,"非常優秀的表演空間!音場好,觀眾反應佳,以獨立音樂的演出來說是非常具備讓觀眾和演出者雙方產生化學反應的好場所! 下次有機會再去百樂門喝喝看酒",2.0,,
bailemen_jiuguan,調酒,18,9,0.3333333333333333,2,0,0.2222222222222222,0.0,"燈光美氣氛佳,食物好吃,調酒好喝,CP值高 店員親切",1.0,,
bailemen_jiuguan,時間,19,7,0.35714285714285715,1,0,0.14285714285714285,0.0,"高雄還有幾間live house酒吧?百樂門基本上就高雄版的左輪吧哈哈。酒很讚,吃的上菜時間適中,氣氛不錯,的確有時會有些熱鬧、吵雜,表演場地很舒適。平均每人消費金額$200-400餐點:5服務:5氣氛:4",0.0,,
bailemen_jiuguan,這裡,20,7,0.35714285714285715,2,0,0.2857142857142857,0.0,"高雄最讚的Live House,老板人讚又Nice。沒表演也這裡喝酒聊天也讚!!",3.0,,
