place_id,place_name,review_unique_key,reviewer_name,star_rating,review_date_text,review_date_estimated,likes_count,review_text,owner_response_text,aspect_name,mentioned,mention_count_in_review,aspect_sentiment_score,aspect_sentiment_label
bailemen_jiuguan,百樂門酒館,a5bc4926165200339ab1bb320a25e663644cd7f0c0c01de09bcf3f3664362b54,涼麵稽查員（cool）,3.0,1 年前,2025-03-27,0,不。餐點:3服務:3氣氛:3,是的!,正餐,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,a5bc4926165200339ab1bb320a25e663644cd7f0c0c01de09bcf3f3664362b54,涼麵稽查員（cool）,3.0,1 年前,2025-03-27,0,不。餐點:3服務:3氣氛:3,是的!,店員/服務,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,46eb13619bf52bb83ec012bbb405f5f789bff76e66e0b8b072216e8e72898786,戴你飛上月球,4.0,1 年前,2025-03-27,0,好玩餐點:5服務:4氣氛:5等待時間最多 10 分鐘,,正餐,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,46eb13619bf52bb83ec012bbb405f5f789bff76e66e0b8b072216e8e72898786,戴你飛上月球,4.0,1 年前,2025-03-27,0,好玩餐點:5服務:4氣氛:5等待時間最多 10 分鐘,,店員/服務,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,46eb13619bf52bb83ec012bbb405f5f789bff76e66e0b8b072216e8e72898786,戴你飛上月球,4.0,1 年前,2025-03-27,0,好玩餐點:5服務:4氣氛:5等待時間最多 10 分鐘,,出餐速度,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,a8d539f6bb9ea4693869e40cb333def59a8d0f968725ad28f3aac5c1797e9c48,patrick t,5.0,1 年前,2025-03-27,0,"場地不錯,音響效果也出乎意料地好。餐點:5服務:5氣氛:5",,正餐,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,a8d539f6bb9ea4693869e40cb333def59a8d0f968725ad28f3aac5c1797e9c48,patrick t,5.0,1 年前,2025-03-27,0,"場地不錯,音響效果也出乎意料地好。餐點:5服務:5氣氛:5",,店員/服務,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,10afe27a7078f9f64ce70f37b6525407b054fb8227b6a75d5ba5296ca98748d6,Mark Moran,5.0,5 個月前,2025-10-27,0,"欣賞音樂的好地方預訂網址不需要訂位用餐人數多人聚餐/單人用餐皆宜座位類型酒吧區, 吧台座位",,功能用途,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,10afe27a7078f9f64ce70f37b6525407b054fb8227b6a75d5ba5296ca98748d6,Mark Moran,5.0,5 個月前,2025-10-27,0,"欣賞音樂的好地方預訂網址不需要訂位用餐人數多人聚餐/單人用餐皆宜座位類型酒吧區, 吧台座位",,氛圍/風格,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,e457034f3f7ba597c3b942e051ecfe98c96c3dd2a1da938e4795decce875ac3d,hûn-gān chhòa,5.0,2 個月前,2026-01-27,0,"龐克搖滾永存平均每人消費金額$200-400餐點:5服務:5氣氛:5吵雜程度吵雜,但還是能交談等待時間不需等候座位類型酒吧區, 沙發座位, 吧台座位",,正餐,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,e457034f3f7ba597c3b942e051ecfe98c96c3dd2a1da938e4795decce875ac3d,hûn-gān chhòa,5.0,2 個月前,2026-01-27,0,"龐克搖滾永存平均每人消費金額$200-400餐點:5服務:5氣氛:5吵雜程度吵雜,但還是能交談等待時間不需等候座位類型酒吧區, 沙發座位, 吧台座位",,功能用途,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,e457034f3f7ba597c3b942e051ecfe98c96c3dd2a1da938e4795decce875ac3d,hûn-gān chhòa,5.0,2 個月前,2026-01-27,0,"龐克搖滾永存平均每人消費金額$200-400餐點:5服務:5氣氛:5吵雜程度吵雜,但還是能交談等待時間不需等候座位類型酒吧區, 沙發座位, 吧台座位",,店員/服務,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,68b8b441b290d167d375406b499d515762e2e271c1101e6c4f2708a318a25a90,forty inches,5.0,6 年前,2020-03-27,0,這裡的人都很友善。不過只有一個男調酒師會說英語。顧客比較年輕。音樂不錯。也不吵鬧。,,氛圍/風格,1,1,1.0,positive
bailemen_jiuguan,百樂門酒館,02b2a6b39db8580018f6455cf975d44f0be23ae54e452f524969de41131e5add,Anton,5.0,3 年前,2023-03-27,1,"樓上有現場音樂表演,樓下有DJ,雖然雞尾酒沒什麼特別驚人之處,但氣氛很好!",,氛圍/風格,1,1,0.0,neutral
bailemen_jiuguan,百樂門酒館,28f847971dab589b1162e9e74da8029838a7175be9643a6d2e83d2dae30ebdc9,Vojta,4.0,9 個月前,2025-06-27,0,"這家酒吧很棒,二樓經常有精彩的演唱會。不過我得扣一顆星,因為生啤酒實在太難喝了。要嘛是設備髒了,要嘛是酒桶太舊了,我也說不準。平均每人消費金額$200-400餐點:3服務:5氣氛:5吵雜程度吵雜,但還是能交談座位類型室內用餐區, 戶外庭園/露台, 吧台座位",,正餐,1,1,0.0,neutral
